=== SEMANTIC ANOMALIES ===
Records with >=1 semantic anomaly: 880

MAG-6000434 | extreme_ppsf | Mantri Elite | apartment | 3 BHK | bath 2 | carpet 106 | super 153 | price 19540000 | floor 23 / 26 | locality dlf phase 3 | live True | verified False
MAG-6002467 | 0BHK+0bath,0/0_floor,carpet_equals_super,extreme_ppsf | Shriram Boulevard | plot | 0 BHK | bath 0 | carpet 209 | super 209 | price 21320000 | floor 0 / 0 | locality golf course road | live False | verified False
MAG-6003092 | large_BHK_0parking | shriram vista | apartment | 4 BHK | bath 3 | carpet 1479 | super 2023 | price 19420000 | floor 11 / 28 | locality sector 56 | live False | verified True
MAG-6002341 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Adarsh Greens | plot | 0 BHK | bath 0 | carpet 1687 | super 1687 | price 19060000 | floor 0 / 0 | locality sector 65 | live True | verified True
100-6002592 | large_BHK_0balcony | Sobha Habitat | apartment | 5 BHK | bath 4 | carpet 1804 | super 2321 | price 18010000 | floor 2 / 12 | locality dwarka expressway | live True | verified True
MAG-6001969 | large_BHK_0parking | Lodha Residency | apartment | 4 BHK | bath 4 | carpet 1525 | super 2065 | price 30370000 | floor 6 / 13 | locality dlf phase 3 | live True | verified True
ZER-6001048 | large_BHK_0balcony | Prestige Serenity | apartment | 4 BHK | bath 4 | carpet 1619 | super 2162 | price 17820000 | floor 11 / 23 | locality sector 65 | live False | verified True
MAG-6001849 | large_BHK_0parking | Nitesh Elite | builder floor | 4 BHK | bath 3 | carpet 1519 | super 2023 | price 14920000 | floor 18 / 23 | locality sohna road | live False | verified True
MAG-6002556 | extreme_ppsf | Brigade Habitat | apartment | 3 BHK | bath 2 | carpet 106 | super 142 | price 14520000 | floor 10 / 28 | locality mg road | live True | verified False
MAG-6001941 | extreme_ppsf | Salarpuria Vista | apartment | 2 BHK | bath 1 | carpet 80 | super 107 | price 12890000 | floor 5 / 19 | locality golf course road | live True | verified True
MAG-6003100 | large_BHK_0balcony,large_BHK_0parking | KOLTE PATIL WOODS | builder floor | 4 BHK | bath 3 | carpet 143 | super 177 | price 14170000 | floor 0 / 9 | locality golf course road | live False | verified True
MAG-6000230 | extreme_ppsf | Mantri Greens | apartment | 3 BHK | bath 2 | carpet 114 | super 158 | price 20120000 | floor 2 / 23 | locality dwarka expressway | live True | verified True
MAG-6003296 | extreme_ppsf | Aparna Boulevard | builder floor | 2 BHK | bath 2 | carpet 75 | super 107 | price 8590000 | floor 14 / 23 | locality golf course road | live True | verified True
MAG-6002139 | house_many_floors | Nitesh Crest | independent house | 1 BHK | bath 1 | carpet 427 | super 575 | price 7910000 | floor 0 / 12 | locality golf course road | live True | verified True
ZER-6001611 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Salarpuria Habitat | plot | 0 BHK | bath 0 | carpet 1871 | super 1871 | price 16100000 | floor 0 / 0 | locality golf course road | live True | verified True
100-6000114 | large_BHK_0parking | Nitesh Willows | apartment | 5 BHK | bath 5 | carpet 2071 | super 2985 | price 10150000 | floor 26 / 30 | locality sector 56 | live True | verified True
100-6001270 | house_many_floors | Prestige Vista | independent house | 1 BHK | bath 1 | carpet 514 | super 738 | price 10300000 | floor 14 / 21 | locality sohna road | live True | verified True
MAG-6001936 | extreme_ppsf | Lodha Woods | apartment | 4 BHK | bath 3 | carpet 148 | super 188 | price 27760000 | floor 2 / 4 | locality sector 65 | live True | verified True
DWE-6000233 | large_BHK_0parking | Puravankara Woods | apartment | 4 BHK | bath 3 | carpet 1548 | super 2118 | price 27840000 | floor 7 / 12 | locality golf course road | live True | verified False
100-6001652 | large_BHK_0balcony | Rohan Crest | apartment | 4 BHK | bath 3 | carpet 1630 | super 2209 | price 24790000 | floor 20 / 22 | locality sector 56 | live True | verified True
DWE-6001873 | large_BHK_0balcony,large_BHK_0parking | Rohan Park | villa | 4 BHK | bath 3 | carpet 1637 | super 2244 | price 22980000 | floor 11 / 30 | locality sohna road | live True | verified True
SQU-6000990 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Sobha Greens | plot | 0 BHK | bath 0 | carpet 2479 | super 2479 | price 17910000 | floor 0 / 0 | locality golf course road | live True | verified True
MAG-6000654 | house_many_floors | Brigade Enclave | independent house | 2 BHK | bath 2 | carpet 831 | super 1166 | price 17440000 | floor 24 / 28 | locality sector 82 | live True | verified False
100-6001517 | large_BHK_0parking,house_many_floors | Lodha Meadows | independent house | 5 BHK | bath 4 | carpet 2009 | super 2583 | price 30220000 | floor 3 / 15 | locality sector 65 | live True | verified False
SQU-6003096 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Rohan Meadows Phase 1 | plot | 0 BHK | bath 0 | carpet 1515 | super 1515 | price 11630000 | floor 0 / 0 | locality sector 56 | live True | verified False
MAG-6001484 | extreme_ppsf | Aparna Grand | apartment | 3 BHK | bath 2 | carpet 99 | super 136 | price 13600000 | floor 7 / 8 | locality new gurgaon | live False | verified True
100-6003097 | large_BHK_0balcony,large_BHK_0parking | SALARPURIA TERRACES | apartment | 4 BHK | bath 4 | carpet 1572 | super 2132 | price 30290000 | floor 1 / 8 | locality mg road | live True | verified False
SQU-6001285 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Casagrand Serenity | plot | 0 BHK | bath 0 | carpet 1509 | super 1509 | price 9220000 | floor 0 / 0 | locality dlf phase 3 | live True | verified True
MAG-6002214 | extreme_ppsf | My Home Greens | apartment | 4 BHK | bath 4 | carpet 145 | super 188 | price 22240000 | floor 14 / 30 | locality dlf phase 3 | live True | verified True
DWE-6001245 | large_BHK_0balcony | Godrej Boulevard | apartment | 5 BHK | bath 5 | carpet 1955 | super 2519 | price 23980000 | floor 6 / 6 | locality dlf phase 3 | live False | verified True
MAG-6000492 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Casagrand Park | plot | 0 BHK | bath 0 | carpet 1766 | super 1766 | price 20310000 | floor 0 / 0 | locality new gurgaon | live True | verified False
SQU-6001361 | large_BHK_0parking | Sobha Greens | apartment | 5 BHK | bath 5 | carpet 1857 | super 2429 | price 29850000 | floor 22 / 30 | locality golf course road | live True | verified True
MAG-6001624 | extreme_ppsf | Century Meadows | independent house | 4 BHK | bath 3 | carpet 144 | super 209 | price 21580000 | floor 0 / 6 | locality dlf phase 3 | live True | verified True
ZER-6002399 | house_many_floors | Nitesh Meadows | independent house | 4 BHK | bath 4 | carpet 1450 | super 1933 | price 18770000 | floor 1 / 26 | locality sohna road | live True | verified False
MAG-6002220 | large_BHK_0balcony | Assetz Willows | apartment | 4 BHK | bath 3 | carpet 1595 | super 2131 | price 25360000 | floor 21 / 25 | locality sector 65 | live True | verified False
ZER-6002159 | large_BHK_0parking | Rohan Enclave | villa | 4 BHK | bath 4 | carpet 1661 | super 2356 | price 25460000 | floor 2 / 8 | locality mg road | live False | verified False
SQU-6000162 | large_BHK_0balcony,large_BHK_0parking | Casagrand Enclave | apartment | 4 BHK | bath 4 | carpet 1651 | super 2105 | price 23000000 | floor 2 / 7 | locality new gurgaon | live True | verified False
MAG-6002358 | extreme_ppsf | Godrej Pavilion | villa | 3 BHK | bath 3 | carpet 103 | super 135 | price 20260000 | floor 9 / 24 | locality mg road | live True | verified False
SQU-6001885 | house_many_floors | Brigade Pavilion | independent house | 2 BHK | bath 1 | carpet 922 | super 1297 | price 13130000 | floor 8 / 32 | locality golf course road | live True | verified False
MAG-6000054 | house_many_floors | Mantri Greens | independent house | 2 BHK | bath 2 | carpet 864 | super 1151 | price 9620000 | floor 8 / 12 | locality new gurgaon | live True | verified False
MAG-6000190 | large_BHK_0parking | Rohan Greens | apartment | 4 BHK | bath 3 | carpet 1609 | super 2136 | price 15220000 | floor 7 / 16 | locality new gurgaon | live True | verified False
MAG-6002533 | extreme_ppsf | Shriram Vista | apartment | 3 BHK | bath 2 | carpet 115 | super 156 | price 15250000 | floor 24 / 29 | locality new gurgaon | live True | verified True
SQU-6001100 | house_many_floors | Kolte Patil Habitat | independent house | 2 BHK | bath 1 | carpet 962 | super 1354 | price 17940000 | floor 5 / 23 | locality sohna road | live True | verified True
100-6003410 | large_BHK_0parking | SALARPURIA TERRACES | builder floor | 4 BHK | bath 3 | carpet 1501 | super 2150 | price 24050000 | floor 4 / 4 | locality sector 56 | live False | verified False
SQU-6002075 | house_many_floors | Aparna Pavilion | independent house | 3 BHK | bath 2 | carpet 1172 | super 1647 | price 18970000 | floor 14 / 27 | locality sector 82 | live True | verified True
MAG-6002642 | large_BHK_0balcony,extreme_ppsf | Sobha Sanctuary | builder floor | 4 BHK | bath 4 | carpet 147 | super 211 | price 15240000 | floor 0 / 4 | locality dwarka expressway | live True | verified True
MAG-6002863 | large_BHK_0balcony,extreme_ppsf | My Home Boulevard | apartment | 4 BHK | bath 4 | carpet 148 | super 213 | price 15790000 | floor 1 / 4 | locality new gurgaon | live True | verified False
DWE-6003119 | house_many_floors | Aparna Crest | independent house | 2 BHK | bath 2 | carpet 824 | super 1045 | price 10420000 | floor 19 / 25 | locality new gurgaon | live True | verified False
MAG-6001308 | extreme_ppsf | Kolte Patil Vista | apartment | 2 BHK | bath 2 | carpet 79 | super 114 | price 12170000 | floor 3 / 13 | locality sector 49 | live True | verified False
MAG-6000241 | extreme_ppsf | Sobha Enclave | apartment | 2 BHK | bath 2 | carpet 82 | super 110 | price 10850000 | floor 24 / 31 | locality mg road | live True | verified False
100-6001621 | large_BHK_0parking | Godrej Willows | apartment | 4 BHK | bath 3 | carpet 1581 | super 2227 | price 22660000 | floor 25 / 30 | locality sector 56 | live True | verified True
ZER-6001337 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Puravankara Vista | plot | 0 BHK | bath 0 | carpet 1695 | super 1695 | price 17450000 | floor 0 / 0 | locality sector 65 | live False | verified False
100-6001593 | house_many_floors | Nitesh Elite | independent house | 1 BHK | bath 1 | carpet 408 | super 557 | price 4650000 | floor 6 / 13 | locality sector 56 | live False | verified True
SQU-6001628 | 0BHK+0bath,0BHK_large_area | Kolte Patil Heights | apartment | 0 BHK | bath 0 | carpet 1987 | super 2541 | price 27860000 | floor 25 / 27 | locality sohna road | live True | verified True
MAG-6001737 | extreme_ppsf | Adarsh Grand | apartment | 2 BHK | bath 2 | carpet 68 | super 93 | price 7860000 | floor 21 / 26 | locality dwarka expressway | live True | verified True
DWE-6000926 | house_many_floors | Mantri Serenity | independent house | 3 BHK | bath 3 | carpet 1185 | super 1547 | price 12310000 | floor 21 / 23 | locality sector 82 | live True | verified True
DWE-6001404 | large_BHK_0parking | Brigade Willows | apartment | 4 BHK | bath 4 | carpet 1583 | super 2091 | price 19270000 | floor 17 / 27 | locality sohna road | live True | verified True
DWE-6002432 | large_BHK_0balcony | Prestige Heights | apartment | 4 BHK | bath 4 | carpet 1556 | super 2103 | price 15920000 | floor 22 / 27 | locality mg road | live True | verified True
MAG-6001864 | house_many_floors | Prestige Park | independent house | 2 BHK | bath 1 | carpet 73 | super 95 | price 7010000 | floor 8 / 15 | locality dlf phase 3 | live True | verified False
MAG-6003021 | large_BHK_0parking,extreme_ppsf | Nitesh Park | apartment | 4 BHK | bath 4 | carpet 130 | super 187 | price 22930000 | floor 10 / 12 | locality mg road | live True | verified False
MAG-6002940 | extreme_ppsf | Mantri Enclave | apartment | 3 BHK | bath 2 | carpet 109 | super 139 | price 13840000 | floor 2 / 15 | locality sohna road | live True | verified False
MAG-6001192 | large_BHK_0balcony,large_BHK_0parking,extreme_ppsf | Nitesh Crest | apartment | 4 BHK | bath 4 | carpet 148 | super 196 | price 25470000 | floor 5 / 19 | locality dlf phase 3 | live True | verified True
MAG-6003083 | extreme_ppsf | Adarsh Crest Apartments | apartment | 4 BHK | bath 4 | carpet 155 | super 198 | price 21190000 | floor 9 / 18 | locality sector 65 | live True | verified False
100-6000469 | house_many_floors | Adarsh Residency | independent house | 2 BHK | bath 1 | carpet 830 | super 1184 | price 8840000 | floor 2 / 29 | locality sector 56 | live True | verified True
MAG-6001058 | extreme_ppsf | Nitesh Crest | apartment | 3 BHK | bath 2 | carpet 122 | super 161 | price 25430000 | floor 5 / 8 | locality dwarka expressway | live True | verified False
100-6000746 | house_many_floors | Lodha Vista | independent house | 2 BHK | bath 1 | carpet 888 | super 1198 | price 11240000 | floor 9 / 21 | locality dlf phase 3 | live True | verified False
ZER-6002543 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Century Greens | plot | 0 BHK | bath 0 | carpet 1381 | super 1381 | price 8130000 | floor 0 / 0 | locality mg road | live True | verified False
MAG-6002949 | large_BHK_0parking | Kolte Patil Willows | apartment | 5 BHK | bath 5 | carpet 1974 | super 2532 | price 32180000 | floor 1 / 14 | locality dwarka expressway | live True | verified False
100-6000405 | large_BHK_0parking | Century Heights | apartment | 4 BHK | bath 3 | carpet 1518 | super 2176 | price 19590000 | floor 7 / 26 | locality sector 56 | live True | verified True
MAG-6000908 | large_BHK_0parking,extreme_ppsf | Rohan Woods | apartment | 4 BHK | bath 3 | carpet 139 | super 191 | price 17170000 | floor 6 / 7 | locality sector 49 | live False | verified False
100-6003339 | house_many_floors | My Home Greens Apartments | independent house | 3 BHK | bath 3 | carpet 1080 | super 1443 | price 18760000 | floor 7 / 25 | locality sector 65 | live True | verified False
MAG-6000868 | extreme_ppsf | Brigade Boulevard | apartment | 3 BHK | bath 3 | carpet 110 | super 149 | price 12360000 | floor 4 / 4 | locality sector 82 | live False | verified False
SQU-6002501 | house_many_floors | My Home Sanctuary | independent house | 3 BHK | bath 3 | carpet 1195 | super 1629 | price 12170000 | floor 14 / 19 | locality sector 56 | live True | verified False
100-6002307 | large_BHK_0parking | Assetz Elite | apartment | 4 BHK | bath 4 | carpet 1637 | super 2252 | price 24550000 | floor 6 / 19 | locality sector 65 | live True | verified True
ZER-6000570 | house_many_floors | Prestige Terraces | independent house | 2 BHK | bath 2 | carpet 814 | super 1020 | price 13840000 | floor 5 / 24 | locality sohna road | live False | verified False
DWE-6001564 | large_BHK_0balcony | Puravankara Greens | apartment | 4 BHK | bath 4 | carpet 1648 | super 2344 | price 32830000 | floor 12 / 28 | locality new gurgaon | live True | verified True
MAG-6001985 | extreme_ppsf | Shriram Serenity | apartment | 2 BHK | bath 1 | carpet 73 | super 103 | price 14580000 | floor 15 / 19 | locality sector 82 | live False | verified True
SQU-6001555 | large_BHK_0parking | Salarpuria Greens | apartment | 4 BHK | bath 4 | carpet 1507 | super 1892 | price 13920000 | floor 1 / 6 | locality sector 56 | live False | verified True
100-6002089 | large_BHK_0balcony | Lodha Greens | apartment | 4 BHK | bath 4 | carpet 1533 | super 2174 | price 24070000 | floor 7 / 15 | locality sector 65 | live True | verified True
MAG-6003224 | extreme_ppsf | Puravankara Enclave Apartments | apartment | 2 BHK | bath 1 | carpet 73 | super 103 | price 10530000 | floor 23 / 30 | locality sector 82 | live True | verified True
100-6000174 | house_many_floors | Mantri Crest | independent house | 2 BHK | bath 1 | carpet 883 | super 1224 | price 11470000 | floor 16 / 19 | locality golf course road | live False | verified True
DWE-6003314 | house_many_floors | Salarpuria-Terraces | independent house | 1 BHK | bath 1 | carpet 387 | super 492 | price 6020000 | floor 10 / 11 | locality golf course road | live True | verified True
100-6000560 | house_many_floors | Century Vista | independent house | 3 BHK | bath 3 | carpet 1151 | super 1630 | price 14500000 | floor 0 / 30 | locality golf course road | live False | verified False
MAG-6001996 | house_many_floors | Lodha Greens | independent house | 2 BHK | bath 1 | carpet 788 | super 996 | price 12130000 | floor 4 / 13 | locality dwarka expressway | live False | verified True
MAG-6002051 | extreme_ppsf | Salarpuria Greens | apartment | 3 BHK | bath 2 | carpet 108 | super 151 | price 21810000 | floor 9 / 27 | locality sector 82 | live False | verified True
MAG-6000845 | large_BHK_0parking,extreme_ppsf | Sobha Habitat | apartment | 4 BHK | bath 3 | carpet 143 | super 196 | price 25050000 | floor 0 / 4 | locality sector 65 | live True | verified True
SQU-6000395 | extreme_ppsf | Puravankara Woods | apartment | 4 BHK | bath 4 | carpet 1456 | super 1900 | price 17010 | floor 12 / 12 | locality golf course road | live False | verified True
DWE-6002897 | large_BHK_0parking | Puravankara Boulevard | apartment | 4 BHK | bath 3 | carpet 1603 | super 2046 | price 28380000 | floor 10 / 23 | locality sector 65 | live True | verified False
100-6001456 | large_BHK_0balcony | Prestige Elite | apartment | 4 BHK | bath 3 | carpet 1508 | super 1954 | price 20260000 | floor 1 / 30 | locality sohna road | live True | verified True
MAG-6001986 | large_BHK_0balcony,extreme_ppsf | Century Enclave | apartment | 4 BHK | bath 3 | carpet 136 | super 196 | price 26080000 | floor 9 / 15 | locality mg road | live False | verified False
MAG-6002723 | large_BHK_0balcony | Brigade Elite | apartment | 4 BHK | bath 3 | carpet 1532 | super 2019 | price 23990000 | floor 11 / 21 | locality sector 56 | live True | verified False
MAG-6002356 | extreme_ppsf | Prestige Woods | apartment | 3 BHK | bath 2 | carpet 119 | super 157 | price 18520000 | floor 2 / 13 | locality sector 56 | live True | verified True
MAG-6002011 | large_BHK_0balcony,extreme_ppsf | Mantri Enclave | apartment | 4 BHK | bath 4 | carpet 155 | super 213 | price 29040000 | floor 14 / 27 | locality sector 65 | live True | verified False
MAG-6003073 | extreme_ppsf | PURAVANKARA PARK | apartment | 3 BHK | bath 3 | carpet 112 | super 161 | price 20800000 | floor 2 / 5 | locality sector 65 | live False | verified False
MAG-6001823 | extreme_ppsf | Prestige Residency | apartment | 3 BHK | bath 3 | carpet 120 | super 169 | price 19210000 | floor 1 / 5 | locality dwarka expressway | live True | verified True
MAG-6003499 | extreme_ppsf | Brigade  Greens | apartment | 4 BHK | bath 3 | carpet 143 | super 198 | price 19990000 | floor 11 / 28 | locality dwarka expressway | live False | verified False
ZER-6001557 | house_many_floors | My Home Woods | independent house | 3 BHK | bath 2 | carpet 1160 | super 1672 | price 23100000 | floor 8 / 23 | locality dwarka expressway | live True | verified True
MAG-6003336 | extreme_ppsf | Sobha-Pavilion | apartment | 1 BHK | bath 1 | carpet 47 | super 65 | price 7790000 | floor 1 / 8 | locality sohna road | live True | verified True
MAG-6002759 | extreme_ppsf | Mantri Greens | apartment | 2 BHK | bath 2 | carpet 75 | super 95 | price 9070000 | floor 2 / 8 | locality dlf phase 3 | live True | verified False
ZER-6000595 | 0BHK+0bath,0BHK_large_area,0/0_floor,carpet_equals_super | Godrej Boulevard | plot | 0 BHK | bath 0 | carpet 1622 | super 1622 | price 9110000 | floor 0 / 0 | locality dlf phase 3 | live True | verified True
SQU-6003385 | large_BHK_0balcony | Salarpuria Meadows | apartment | 4 BHK | bath 4 | carpet 1567 | super 2215 | price 19670000 | floor 11 / 12 | locality sector 65 | live True | verified True
ZER-6001299 | large_BHK_0balcony | Shriram Boulevard | apartment | 4 BHK | bath 4 | carpet 1615 | super 2242 | price 16440000 | floor 3 / 7 | locality sector 65 | live True | verified False
